log_id,user_id,video_id,watch_date,subscribed,playlist_name,video_title
146579,25,54zp2z8tTdo,2018-08-25 12:57:01,,,Warriors for Hire! | Mighty Magiswords | Cartoon Network
146580,25,0Eb6GcPx5uU,2018-08-25 12:56:33,,,Sleepy Baby Pygmy Hippo- Toronto Zoo
146582,25,93Y_eCwdR5k,2018-08-23 04:10:56,,,7UP Madras Gig -  Orasaadha | Vivek - Mervin
146584,25,YH7Jr_GoyBg,2018-08-22 00:31:57,,,வரலட்சுமி நோன்பு பூஜை முறை!  Varalakshmi Vratam simple method
146585,25,8Iw8dMzRYGo,2018-08-22 00:29:58,,,Varalakshmi Vratham Pooja Vidhanam | Varalakshmi Vratham Pooja Procedure | Sravana Masam | BhaktiOne
146586,25,TE81oYMY8X4,2018-08-21 21:19:19,,,"Angie Craig for Congress ""All of us"""
146587,25,RDJopF-g-w0,2018-08-21 21:18:53,,,Angie Craig for Congress: Convention Video
146589,25,EgRFSFxx2og,2018-08-20 19:48:56,,,Vlog de calatorie: Germania & Olanda | 7 zile in Dusseldorf si Amsterdam
146591,25,PEjJdfp9dEo,2018-08-17 23:44:20,,,Kiara Kabukuru
146592,25,T-UCQ9vKn1U,2018-08-17 22:20:19,,,BEAUTY ROOM TOUR
146593,25,K9SUCfAouhY,2018-08-17 12:46:43,,,Penny On M.A.R.S | Best Friend Sing Along - Rain Or Shine | Disney Channel UK
146596,25,aRx15cViQmQ,2018-08-17 12:41:26,,,Teen Titans Go! | Beast Boy's Broken Heart | Cartoon Network
146597,25,08t0PW7BzIQ,2018-08-13 20:43:04,,,Lingaa Superstar bike ride scene
146599,25,VloltnA6Sb8,2018-08-11 18:53:09,,,31/072019 ஆடி அமாவாசை நாளில் இவ்வளவு பெரிய ரகசிய கதையா? Aadi Amavasai
146601,25,Ywmge3X5zMI,2018-08-11 17:25:44,,,VMH
146602,25,BwfsH0Ggx0s,2018-08-11 12:40:47,,,Ducktales | 30 Things With Webby | Disney Channel UK
146603,25,LdJUNQaaIAI,2018-08-11 12:40:27,,,Thomas and Nia Busy Racing Backwards | Thomas & Friends UK | Videos for Kids
146605,25,3zAR0SiKs4o,2018-08-11 12:21:34,,,Huawei Honor 9 Camera Review | Photo & Video Samples
146606,25,0xZsoMSEsaA,2018-08-10 19:21:06,,,Duel (1971) Trailer
146607,25,0dKU2-IqEUw,2018-08-10 19:18:23,,,Duel 1971 Hollywood Action Thriller Movie Review In Tamil By #Jackiesekar | #Jackiecinemas
146608,25,ouTJkNLepF0,2018-08-10 01:21:23,,,"Stress, Strain & Quicksand: Crash Course Engineering #12"
146609,25,80W7TbyNPQ4,2018-08-10 01:18:36,,,Work out with Pets! | Doc McStuffins Pet Vlog | Disney Junior
146610,25,dsnENHmrFS8,2018-08-10 01:18:04,,,Tunnel Battle | DREAMWORKS VOLTRON LEGENDARY DEFENDER
146611,25,Gb-8npIE7cw,2018-08-10 01:17:42,,,Matter Song
146612,25,yS_2tDJKPDg,2018-08-10 01:16:38,,,Creation Song
146613,25,T8dFnL2VGPA,2018-08-10 01:15:57,,,Moon Song
146614,25,V7QYLEusDU4,2018-08-10 01:15:09,,,The Substitute Teacher - Talking Tom & Friends | Season 3 Episode 13
146615,25,CYsGXJ4-0qU,2018-08-10 01:14:17,,,Why Aren’t Keyboards in ‘ABC’ Order? | COLOSSAL QUESTIONS
146616,25,Ca5WPXcZLsk,2018-08-10 01:12:31,,,Jack Black Wants to See Your Weird
